"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","col","Degree","Eccentricity","IsSingleNode","label","ManualCategoryLvl1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"1.7794117647058822","0.010573323565603218","0.5619834710743802","0.5789473684210527","#B1CC71","20","3","false","G_subsystem52","Glycan biosynthesis and metabolism","N-glycan synthesis","22.9","0","20","0","0.9837622549019608","false","0","N-glycan synthesis","76","316","0.3634920634920635"
"2.0588235294117645","3.6677746097773986E-4","0.48571428571428577","0.7857142857142857","#9A4D42","8","4","false","G_subsystem69","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism","29.25","0","8","0","0.9779411764705882","false","0","Glyoxylate and dicarboxylate metabolism","27","16","0.5131578947368421"
"1.7647058823529411","0.007507003583225972","0.5666666666666667","0.6","#FFD300","21","3","false","G_subsystem27","Lipid metabolism","Phosphatidylinositol phosphate metabolism","25.0","0","21","0","0.9840686274509803","false","0","Phosphatidylinositol phosphate metabolism","65","298","0.3968253968253968"
"1.6323529411764706","0.006983583895030734","0.6126126126126126","0.7275132275132276","#FF00B6","28","3","false","G_subsystem22","Amino acid metabolism","Glutamate metabolism","27.892857142857142","0","28","0","0.9868259803921569","false","0","Glutamate metabolism","38","310","0.4291208791208791"
"0.0","0.0","0.0","0.0","#DD00FF","0","0","true","G_subsystem71","Nucleotide metabolism","Nucleotide sugar metabolism","0.0","0","0","0","Infinity","false","0","Nucleotide sugar metabolism","0","0","0.0"
"1.8823529411764706","0.006122259986920064","0.53125","0.6285714285714286","#9A4D42","15","3","false","G_subsystem70","Carbohydrate metabolism","Galactose metabolism","23.933333333333334","0","15","0","0.9816176470588235","false","0","Galactose metabolism","25","220","0.3923497267759563"
"1.8235294117647058","0.005229356191303422","0.5483870967741935","0.6140350877192983","#9A4D42","19","3","false","G_subsystem68","Carbohydrate metabolism","Fructose and mannose metabolism","24.63157894736842","0","19","0","0.982843137254902","false","0","Fructose and mannose metabolism","36","206","0.40379637618636754"
"2.235294117647059","3.990741479766941E-5","0.4473684210526316","0.8333333333333334","#B1CC71","4","3","false","G_subsystem67","Glycan biosynthesis and metabolism","Keratan sulfate degradation","22.25","0","4","0","0.9742647058823529","false","0","Keratan sulfate degradation","72","2","0.4635416666666667"
"2.088235294117647","0.0","0.4788732394366197","1.0","#B1CC71","7","3","false","G_subsystem21","Glycan biosynthesis and metabolism","Blood group synthesis","20.285714285714285","0","7","0","0.9773284313725491","false","0","Blood group synthesis","51","0","0.36883116883116884"
"2.088235294117647","0.0","0.4788732394366197","1.0","#B1CC71","7","3","false","G_subsystem20","Glycan biosynthesis and metabolism","O-glycan synthesis","20.285714285714285","0","7","0","0.9773284313725491","false","0","O-glycan synthesis","13","0","0.36883116883116884"
"2.088235294117647","1.6475655193829033E-4","0.4788732394366197","0.8666666666666667","#9A4D42","6","4","false","G_subsystem77","Carbohydrate metabolism","Inositol phosphate metabolism","26.666666666666668","0","6","0","0.9773284313725491","false","0","Inositol phosphate metabolism","46","10","0.4678362573099415"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_subsystem76","Metabolism of cofactors and vitamins","Vitamin B6 metabolism","0.0","0","0","0","Infinity","false","0","Vitamin B6 metabolism","15","0","0.0"
"1.9264705882352942","1.3005541429597617E-4","0.5190839694656488","0.9272727272727272","#FFD300","11","3","false","G_subsystem62","Lipid metabolism","Fatty acid synthesis","31.636363636363637","0","11","0","0.9806985294117646","false","0","Fatty acid synthesis","115","8","0.5102639296187683"
"1.9705882352941178","4.389815627743635E-5","0.5074626865671642","0.9777777777777777","#FF00B6","10","3","false","G_subsystem61","Amino acid metabolism","D-alanine metabolism","32.6","0","10","0","0.979779411764706","false","0","D-alanine metabolism","10","2","0.5433333333333333"
"1.7205882352941178","0.03005093889996797","0.5811965811965811","0.8379446640316206","#FF00B6","23","3","false","G_subsystem3","Amino acid metabolism","Lysine metabolism","29.26086956521739","0","23","0","0.9849877450980392","false","0","Lysine metabolism","38","730","0.463768115942029"
"0.0","0.0","0.0","0.0","#009FFF","0","0","true","G_subsystem37","Amino acid derivatives","Selenoamino acid metabolism","0.0","0","0","0","Infinity","false","0","Selenoamino acid metabolism","0","0","0.0"
"1.6176470588235294","0.004752523546872114","0.6181818181818182","0.7619047619047619","#FF00B6","28","3","false","G_subsystem75","Amino acid metabolism","Histidine metabolism","29.892857142857142","0","28","0","0.9871323529411765","false","0","Histidine metabolism","26","284","0.45292207792207795"
"1.9411764705882353","0.004199908954194802","0.5151515151515151","0.7272727272727273","#B1CC71","12","3","false","G_subsystem74","Glycan biosynthesis and metabolism","Hyaluronan metabolism","22.833333333333332","0","12","0","0.9803921568627452","false","0","Hyaluronan metabolism","14","144","0.38055555555555554"
"0.0","0.0","0.0","0.0","#B1CC71","0","0","true","G_subsystem60","Glycan biosynthesis and metabolism","Chondroitin sulfate degradation","0.0","0","0","0","Infinity","false","0","Chondroitin sulfate degradation","0","0","0.0"
"1.8529411764705883","0.029320577934309432","0.5396825396825397","0.5054945054945055","#F1085C","14","3","false","G_subsystem66","Metabolism of cofactors and vitamins","CoA synthesis","25.642857142857142","0","14","0","0.9822303921568628","false","0","CoA synthesis","38","808","0.40066964285714285"
"2.014705882352941","2.1864177069981958E-4","0.49635036496350365","0.8214285714285714","#DD00FF","8","3","false","G_subsystem36","Nucleotide metabolism","Nucleotide salvage pathway","28.375","0","8","0","0.9788602941176471","false","0","Nucleotide salvage pathway","8","14","0.4809322033898305"
"1.5294117647058822","0.043323019095967946","0.6538461538461539","0.5918003565062389","#FF00B6","34","3","false","G_subsystem4","Amino acid metabolism","Glycine, serine, alanine and threonine metabolism","26.558823529411764","0","34","0","0.988970588235294","false","0","Glycine, serine, alanine and threonine metabolism","77","1192","0.4081447963800905"
"1.911764705882353","3.999897617880368E-4","0.5230769230769231","0.8589743589743589","#FF00B6","13","3","false","G_subsystem80","Amino acid metabolism","Phenylalanine metabolism","31.76923076923077","0","13","0","0.9810049019607843","false","0","Phenylalanine metabolism","24","28","0.5208070617906684"
"0.0","0.0","0.0","0.0","#FFD300","0","0","true","G_subsystem89","Lipid metabolism","Linoleate metabolism","0.0","0","0","0","Infinity","false","0","Linoleate metabolism","0","0","0.0"
"1.8529411764705883","0.001953243856014619","0.5396825396825397","0.6761904761904762","#F1085C","15","3","false","G_subsystem64","Metabolism of cofactors and vitamins","Tetrahydrobiopterin metabolism","29.533333333333335","0","15","0","0.9822303921568628","false","0","Tetrahydrobiopterin metabolism","35","112","0.4687830687830688"
"1.2941176470588236","0.12129507260053415","0.7727272727272727","0.3971631205673759","#DD00FF","48","2","false","G_subsystem35","Nucleotide metabolism","Nucleotide interconversion","22.229166666666668","0","48","0","0.9938725490196078","false","0","Nucleotide interconversion","175","2578","0.3268995098039216"
"1.4705882352941178","0.045039788222666924","0.6799999999999999","0.5180180180180181","#FF00B6","37","3","false","G_subsystem5","Amino acid metabolism","Methionine and cysteine metabolism","24.54054054054054","0","37","0","0.9901960784313726","false","0","Methionine and cysteine metabolism","66","1378","0.3662767244856797"
"1.9264705882352942","0.0030759755722649987","0.5190839694656488","0.7727272727272727","#FF00B6","12","3","false","G_subsystem83","Amino acid metabolism","Cysteine Metabolism","28.083333333333332","0","12","0","0.9806985294117646","false","0","Cysteine Metabolism","9","138","0.4603825136612022"
"1.6911764705882353","0.0019544155684833027","0.591304347826087","0.8369565217391305","#F1085C","24","3","false","G_subsystem63","Metabolism of cofactors and vitamins","Folate metabolism","29.666666666666668","0","24","0","0.9856004901960785","false","0","Folate metabolism","73","130","0.4564102564102564"
"1.4264705882352942","0.06135318571415436","0.7010309278350515","0.41829268292682925","#9A4D42","41","3","false","G_subsystem34","Carbohydrate metabolism","Glycolysis/gluconeogenesis","22.804878048780488","0","41","0","0.9911151960784313","false","0","Glycolysis/gluconeogenesis","78","1818","0.34552845528455284"
"1.7352941176470589","0.006340050158470177","0.576271186440678","0.6561264822134387","#DD00FF","23","3","false","G_subsystem6","Nucleotide metabolism","Pyrimidine catabolism","28.217391304347824","0","23","0","0.9846813725490197","false","0","Pyrimidine catabolism","60","270","0.4478951000690131"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_subsystem82","Metabolism of cofactors and vitamins","Thiamine metabolism","0.0","0","0","0","Infinity","false","0","Thiamine metabolism","15","0","0.0"
"2.088235294117647","6.825922102480487E-5","0.4788732394366197","0.9285714285714286","#FFACFD","8","3","false","G_subsystem81","Energy metabolism","Oxidative phosphorylation","31.125","0","8","0","0.9773284313725491","false","0","Oxidative phosphorylation","22","6","0.5763888888888888"
"1.8529411764705883","0.0016378048810699799","0.5396825396825397","0.8382352941176471","#009FFF","17","3","false","G_subsystem1","Amino acid derivatives","beta-Alanine metabolism","29.058823529411764","0","17","0","0.9822303921568628","false","0","beta-Alanine metabolism","27","80","0.476374156219865"
"2.088235294117647","0.0","0.4788732394366197","1.0","#B1CC71","7","3","false","G_subsystem39","Glycan biosynthesis and metabolism","Keratan sulfate synthesis","20.285714285714285","0","7","0","0.9773284313725491","false","0","Keratan sulfate synthesis","70","0","0.36883116883116884"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_subsystem88","Metabolism of cofactors and vitamins","Vitamin E metabolism","0.0","0","0","0","Infinity","false","0","Vitamin E metabolism","0","0","0.0"
"0.0","0.0","0.0","0.0","#FFD300","0","0","true","G_subsystem87","Lipid metabolism","Arachidonic acid metabolism","0.0","0","0","0","Infinity","false","0","Arachidonic acid metabolism","2","0","0.0"
