metabolite	subsystem
3dhguln_c	Pentose phosphate pathway
3docopencoa_m	Fatty acid oxidation
3docopencoa_m	Fatty acid oxidation
3docopencoa_x	Fatty acid oxidation
3docopencoa_x	Fatty acid oxidation
3dodtricoa_m	Fatty acid oxidation
3dodtricoa_m	Fatty acid oxidation
3dodtricoa_x	Fatty acid oxidation
3dodtricoa_x	Fatty acid oxidation
3dpdhb_m	Ubiquinone synthesis
3dpdhb_m	Ubiquinone synthesis
3dpdhb_m	Ubiquinone synthesis
3dpdhb_me_m	Ubiquinone synthesis
3dpdhb_me_m	Ubiquinone synthesis
3dphb_m	Ubiquinone synthesis
3dphb_m	Ubiquinone synthesis
3dphb_m	Ubiquinone synthesis
3dsphgn_c	Sphingolipid metabolism
3dsphgn_c	Sphingolipid metabolism
3hanthrn_c	Tryptophan metabolism
3hanthrn_c	Tryptophan metabolism
3hbcoa_R_c	Fatty acid oxidation
3hbcoa_R_c	Fatty acid oxidation
3hbcoa_R_m	Fatty acid oxidation
3hbcoa_R_m	Butanoate metabolism
3hbcoa_m	Tryptophan metabolism
3hbcoa_m	Tryptophan metabolism
3hdcoa_c	Fatty acid oxidation
3hdcoa_c	Fatty acid oxidation
3hdcoa_m	Fatty acid oxidation
3hdcoa_m	Fatty acid oxidation
3hdcoa_m	Fatty acid oxidation
3hdcoa_m	Fatty acid oxidation
3hddcoa_c	Fatty acid oxidation
3hddcoa_c	Fatty acid oxidation
3hddcoa_m	Fatty acid oxidation
3hddcoa_m	Fatty acid oxidation
3hddcoa_m	Fatty acid oxidation
3hddcoa_m	Fatty acid oxidation
3hdeccoa_c	Fatty acid oxidation
3hdeccoa_c	Fatty acid oxidation
3hdeccoa_m	Fatty acid oxidation
3hdeccoa_m	Fatty acid oxidation
3hdececrn_c	Fatty acid oxidation
3hdececrn_c	Fatty acid oxidation
3hdececrn_e	Fatty acid oxidation
3hdececrn_e	Exchange/demand reaction
3hexdcoa_c	Fatty acid oxidation
3hexdcoa_c	Fatty acid oxidation
3hexdcoa_m	
3hexdcoa_m	Fatty acid oxidation
3hexdcoa_m	Fatty acid oxidation
3hexdcoa_m	Fatty acid oxidation
3hexdcrn_c	Fatty acid oxidation
3hexdcrn_c	Fatty acid oxidation
3hexdcrn_e	Fatty acid oxidation
3hexdcrn_e	Exchange/demand reaction
3hexdtetcoa_m	Fatty acid oxidation
3hexdtetcoa_m	Fatty acid oxidation
3hexdtetcoa_x	Fatty acid oxidation
3hexdtetcoa_x	Fatty acid oxidation
3hexdtricoa_m	Fatty acid oxidation
3hexdtricoa_m	Fatty acid oxidation
3hexdtricoa_x	Fatty acid oxidation
3hexdtricoa_x	Fatty acid oxidation
3hibutcoa_m	Valine, leucine, and isoleucine metabolism
3hibutcoa_m	Valine, leucine, and isoleucine metabolism
3hmbcoa_m	Valine, leucine, and isoleucine metabolism
3hmbcoa_m	Valine, leucine, and isoleucine metabolism
3hmp_m	
3hmp_m	Valine, leucine, and isoleucine metabolism
3hmp_m	Valine, leucine, and isoleucine metabolism
3hodcoa_c	Fatty acid oxidation
3hodcoa_c	Fatty acid oxidation
3hodcoa_m	Fatty acid oxidation
3hodcoa_m	Fatty acid oxidation
3hpcoa_m	beta-Alanine metabolism
3hpcoa_m	CoA synthesis
3hpp_m	Propanoate metabolism
3hpp_m	CoA synthesis
3htdcoa_c	Fatty acid oxidation
3htdcoa_c	Fatty acid oxidation
3htdcoa_m	Fatty acid oxidation
3htdcoa_m	Fatty acid oxidation
3htdcoa_m	Fatty acid oxidation
3htdcoa_m	Fatty acid oxidation
3ityr_L_c	Tyrosine metabolism
3ityr_L_c	Tyrosine metabolism
3ityr_L_c	Tyrosine metabolism
3ivcoa_c	Fatty acid oxidation
3ivcoa_c	Fatty acid oxidation
3ivcoa_m	Fatty acid oxidation
3ivcoa_m	Fatty acid oxidation
3ivcrn_c	Fatty acid oxidation
3ivcrn_c	Fatty acid oxidation
3ivcrn_e	Exchange/demand reaction
3ivcrn_e	Fatty acid oxidation
3m4hpga_m	
3m4hpga_m	
3mb2coa_m	Valine, leucine, and isoleucine metabolism
3mb2coa_m	Fatty acid oxidation
3mb2coa_m	Valine, leucine, and isoleucine metabolism
3mb2coa_m	Valine, leucine, and isoleucine metabolism
3mgcoa_m	Valine, leucine, and isoleucine metabolism
3mgcoa_m	Valine, leucine, and isoleucine metabolism
3mlda_c	Transport, extracellular
3mlda_c	Histidine metabolism
3mlda_e	Transport, extracellular
3mlda_e	Exchange/demand reaction
3mldz_c	Histidine metabolism
3mldz_c	Histidine metabolism
3mob_c	Valine, leucine, and isoleucine metabolism
3mob_c	Transport, extracellular
3mob_c	Transport, mitochondrial
3mob_e	Exchange/demand reaction
3mob_e	Transport, extracellular
3mob_m	Valine, leucine, and isoleucine metabolism
3mob_m	
3mob_m	Valine, leucine, and isoleucine metabolism
3mob_m	Transport, mitochondrial
3mop_c	Transport, extracellular
3mop_c	Valine, leucine, and isoleucine metabolism
3mop_c	Transport, mitochondrial
3mop_e	Transport, extracellular
3mop_e	Exchange/demand reaction
3mop_m	Valine, leucine, and isoleucine metabolism
3mop_m	Valine, leucine, and isoleucine metabolism
3mop_m	Transport, mitochondrial
3mop_m	
3mox4hoxm_m	
3mox4hoxm_m	
3mox4hpac_m	
3mox4hpac_m	
3ocddcoa_c	Fatty acid oxidation
3ocddcoa_c	Fatty acid oxidation
3ocddcoa_m	Fatty acid oxidation
3ocddcoa_m	Fatty acid oxidation
3octdec2crn_c	Fatty acid oxidation
3octdec2crn_c	Fatty acid oxidation
3octdec2crn_e	Fatty acid oxidation
3octdec2crn_e	Exchange/demand reaction
3octdeccrn_c	Fatty acid oxidation
3octdeccrn_c	Fatty acid oxidation
3octdeccrn_e	Fatty acid oxidation
3octdeccrn_e	Exchange/demand reaction
3octdece1coa_c	Fatty acid oxidation
3octdece1coa_c	Fatty acid oxidation
3octdece1coa_m	Fatty acid oxidation
3octdece1coa_m	Fatty acid oxidation
3octdece1crn_c	Fatty acid oxidation
3octdece1crn_c	Fatty acid oxidation
3octdece1crn_e	Fatty acid oxidation
3octdece1crn_e	Exchange/demand reaction
3octdectecoa_m	Fatty acid oxidation
3octdectecoa_m	Fatty acid oxidation
3octdectecoa_x	Fatty acid oxidation
3octdectecoa_x	Fatty acid oxidation
3octpencoa_m	Fatty acid oxidation
3octpencoa_m	Fatty acid oxidation
3odcoa_m	Fatty acid oxidation
3odcoa_m	Fatty acid oxidation
3odcoa_x	Fatty acid oxidation
3odcoa_x	Fatty acid oxidation
3oddcoa_m	Fatty acid oxidation
3oddcoa_m	Fatty acid oxidation
3oddcoa_x	Fatty acid oxidation
3oddcoa_x	Fatty acid oxidation
3ohdcoa_m	Fatty acid oxidation
3ohdcoa_m	Fatty acid oxidation
3ohdcoa_x	Fatty acid oxidation
3ohdcoa_x	Fatty acid oxidation
3otdcoa_m	Fatty acid oxidation
3otdcoa_m	Fatty acid oxidation
3otdcoa_x	Fatty acid oxidation
3otdcoa_x	Fatty acid oxidation
3pg_c	
3pg_c	Glycolysis/gluconeogenesis
3pg_c	Glycine, serine, alanine and threonine metabolism
3pg_c	Glycolysis/gluconeogenesis
3pg_c	Transport, mitochondrial
3pg_c	Glycolysis/gluconeogenesis
3pg_c	Glycolysis/gluconeogenesis
3pg_m	
3pg_m	Transport, mitochondrial
3php_c	Glycine, serine, alanine and threonine metabolism
3php_c	Glycine, serine, alanine and threonine metabolism
3sala_c	Taurine and hypotaurine metabolism
3sala_c	Methionine and cysteine metabolism
3sala_c	Taurine and hypotaurine metabolism
3sala_c	Taurine and hypotaurine metabolism
3sala_c	Transport, mitochondrial
3sala_m	Methionine and cysteine metabolism
3sala_m	Transport, mitochondrial
3snpyr_c	Methionine and cysteine metabolism
3snpyr_c	Methionine and cysteine metabolism
3snpyr_m	Methionine and cysteine metabolism
3snpyr_m	Methionine and cysteine metabolism
3spyr_c	Methionine and cysteine metabolism
3spyr_c	Methionine and cysteine metabolism
3tdcrn_c	Fatty acid oxidation
3tdcrn_c	Fatty acid oxidation
3tdcrn_e	Exchange/demand reaction
3tdcrn_e	Fatty acid oxidation
3tetd7ecoa_c	Fatty acid oxidation
3tetd7ecoa_c	Fatty acid oxidation
3tetd7ecoa_m	Fatty acid oxidation
3tetd7ecoa_m	Fatty acid oxidation
3tetd7ecoacrn_c	Fatty acid oxidation
3tetd7ecoacrn_c	Fatty acid oxidation
3tetd7ecoacrn_e	Fatty acid oxidation
3tetd7ecoacrn_e	Exchange/demand reaction
3thexddcoa_c	Fatty acid oxidation
3thexddcoa_c	Fatty acid oxidation
3thexddcoa_m	Fatty acid oxidation
3thexddcoa_m	Fatty acid oxidation
3thexddcoacrn_c	Fatty acid oxidation
3thexddcoacrn_c	Fatty acid oxidation
3thexddcoacrn_e	Exchange/demand reaction
3thexddcoacrn_e	Fatty acid oxidation
3ttetddcoa_c	Fatty acid oxidation
3ttetddcoa_c	Fatty acid oxidation
3ttetddcoa_m	Fatty acid oxidation
3ttetddcoa_m	Fatty acid oxidation
3ttetddcoacrn_c	Fatty acid oxidation
3ttetddcoacrn_c	Fatty acid oxidation
3ttetddcoacrn_e	Exchange/demand reaction
3ttetddcoacrn_e	Fatty acid oxidation
3uib_c	Pyrimidine catabolism
3uib_c	Pyrimidine catabolism
3ump_e	Exchange/demand reaction
3ump_e	Miscellaneous
42A3HP24DB_c	Tryptophan metabolism
42A3HP24DB_c	Tryptophan metabolism
44mctr_c	Cholesterol metabolism
44mctr_c	Cholesterol metabolism
44mctr_r	Cholesterol metabolism
44mctr_r	Cholesterol metabolism
44mzym_r	Cholesterol metabolism
44mzym_r	Cholesterol metabolism
4abut_c	Transport, extracellular
4abut_c	Glutamate metabolism
4abut_c	
4abut_c	Transport, mitochondrial
4abut_c	beta-Alanine metabolism
4abut_c	Transport, extracellular
4abut_c	Transport, nuclear
4abut_c	
4abut_c	
4abut_c	Transport, extracellular
4abut_e	Transport, extracellular
4abut_e	Exchange/demand reaction
4abut_e	Transport, extracellular
4abut_e	
4abut_e	Transport, extracellular
4abut_m	Transport, mitochondrial
4abut_m	Glutamate metabolism
4abut_m	Glutamate metabolism
4abut_m	Glutamate metabolism
4abut_n	Exchange/demand reaction
4abut_n	Transport, nuclear
4abutn_c	Urea cycle
4abutn_c	Arginine and Proline Metabolism
4abutn_c	beta-Alanine metabolism
4abutn_c	beta-Alanine metabolism
4abutn_e	Exchange/demand reaction
4abutn_e	Methionine and cysteine metabolism
4abutn_m	Glutamate metabolism
4abutn_m	Glutamate metabolism
4aphdob_c	Tryptophan metabolism
4aphdob_c	Tryptophan metabolism
4fumacac_c	Tyrosine metabolism
4fumacac_c	Tyrosine metabolism
4h2oglt_m	Arginine and Proline Metabolism
4h2oglt_m	Arginine and Proline Metabolism
4h2oglt_m	Arginine and Proline Metabolism
4hbz_m	Ubiquinone synthesis
4hbz_m	Ubiquinone synthesis
4hbzcoa_m	Ubiquinone synthesis
4hbzcoa_m	Ubiquinone synthesis
4hdebrisoquine_c	Cytochrome metabolism
4hdebrisoquine_c	Transport, extracellular
4hdebrisoquine_e	Transport, extracellular
4hdebrisoquine_e	Exchange/demand reaction
4hexdtetcoa_m	Fatty acid oxidation
4hexdtetcoa_m	Fatty acid oxidation
4hexdtetcoa_m	Fatty acid oxidation
4hexdtetcoa_x	Fatty acid oxidation
4hexdtetcoa_x	Fatty acid oxidation
4hexdtricoa_m	Fatty acid oxidation
4hexdtricoa_m	Fatty acid oxidation
4hexdtricoa_m	Fatty acid oxidation
4hexdtricoa_x	Fatty acid oxidation
4hexdtricoa_x	Fatty acid oxidation
4hoxpacd_c	Tyrosine metabolism
4hoxpacd_c	Tyrosine metabolism
4hphac_c	Transport, extracellular
4hphac_c	Tyrosine metabolism
4hphac_e	Transport, extracellular
4hphac_e	Exchange/demand reaction
4hpro_LT_c	Transport, extracellular
4hpro_LT_c	Transport, extracellular
4hpro_LT_c	Arginine and Proline Metabolism
4hpro_LT_c	Arginine and Proline Metabolism
4hpro_LT_e	Transport, extracellular
4hpro_LT_e	Transport, extracellular
4hpro_LT_e	Transport, extracellular
4hpro_LT_e	Exchange/demand reaction
4hpro_LT_m	Arginine and Proline Metabolism
4hpro_LT_m	Exchange/demand reaction
4hpro_LT_m	Arginine and Proline Metabolism
4hpro_LT_m	Transport, extracellular
4izp_c	Histidine metabolism
4izp_c	Histidine metabolism
4mlacac_c	Tyrosine metabolism
4mlacac_c	Tyrosine metabolism
4mop_c	Valine, leucine, and isoleucine metabolism
4mop_c	Transport, extracellular
4mop_c	Transport, mitochondrial
4mop_e	Transport, extracellular
4mop_e	Exchange/demand reaction
4mop_m	Valine, leucine, and isoleucine metabolism
4mop_m	
4mop_m	Valine, leucine, and isoleucine metabolism
4mop_m	Transport, mitochondrial
4mptnl_c	Transport, extracellular
4mptnl_c	Transport, mitochondrial
4mptnl_e	Exchange/demand reaction
